board_id,name,device_tag,floor_id,system_code,voltage_v,voltage_source,phase_count,power_factor,pf_source,rated_current_a,lights_kwh,equipment_kwh,hvac_kwh,total_kwh,peak_total_kw,peak_timestamp,estimated_peak_current_a,current_method,loading_pct,overload_status,value_class,notes
board_1T4Dk9Ojj9rOi06EMenZ3N,-,RKE01,floor_basement,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,157725.79,214445.93,159294.04,531465.76,236.558,2025-01-12 07:00:00,379.4,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_3Sg96Yq1H0KeIY_4TWSyob,-,RKE01,floor_level_04,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,84168.35,17464.06,163597.68,265230.08,142.946,2025-01-12 07:00:00,229.2,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_0ySY4lCdb6wP8OlE3GnJKj,-,RKE01,floor_level_03,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,84896.07,17432.39,162806.87,265135.33,141.696,2025-01-12 07:00:00,227.2,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_3Sg96Yq1H0KeIY_4TWSz7U,-,RKE01,floor_level_02,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,66434.29,17857.36,172252.13,256543.77,140.83,2025-01-12 07:00:00,225.9,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_1uPDbvw6L0MgNr4AW2hEtU,-,RKE02,floor_level_01,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,18606.17,121236.52,130349.02,270191.71,123.214,2025-01-12 07:00:00,197.6,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_3Sg96Yq1H0KeIY_4TWSz7V,-,RKE01,floor_level_02,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,124248.9,182499.15,0,306748.05,91.504,2025-03-29 09:30:00,146.7,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_3JIKR4ApD9Zubrv_yC0GIg,-,RKE01,floor_level_03,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,122715.37,152660.69,0,275376.05,82.452,2025-11-05 13:30:00,132.2,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_3Sg96Yq1H0KeIY_4TWSyoY,-,RKE01,floor_level_04,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,107215.12,152833.04,0,260048.16,77.625,2025-11-05 14:00:00,124.5,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_0BApDNy4b68xPmOWc6gBjW,-,RKE08,floor_level_05,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,2199.92,0,59272.56,61472.48,49.281,2025-02-10 08:00:00,79.0,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_2CLLxwql1ENgOMn_rShACR,-,RKE01,floor_level_05,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,19021.13,102046.49,0,121067.62,35.291,2025-11-12 14:00:00,56.6,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
board_1uPDbvw6L0MgNr4AW2hEsV,-,RKE02,floor_level_01,S0301,400.0,ifc_derived,3.0,0.9,assumed_default,0.0,95601.46,543.79,0,96145.25,30.236,2025-01-12 16:30:00,48.5,3ph P/(sqrt3*V*PF),,rating_missing,spatially_inferred,estimated: EnergyPlus-simulated zone energy x inferred allocation; current uses assumed PF/voltage
