board_id,month,lights_kwh,equipment_kwh,hvac_kwh,total_kwh,peak_total_kw
board_0BApDNy4b68xPmOWc6g5bB,1,1163.65,0,0,1163.65,4.197
board_0BApDNy4b68xPmOWc6g5bB,2,1022.5,0,0,1022.5,4.197
board_0BApDNy4b68xPmOWc6g5bB,3,1133.78,0,0,1133.78,4.197
board_0BApDNy4b68xPmOWc6g5bB,4,1072.73,0,0,1072.73,4.197
board_0BApDNy4b68xPmOWc6g5bB,5,1163.65,0,0,1163.65,4.197
board_0BApDNy4b68xPmOWc6g5bB,6,1086.73,0,0,1086.73,4.197
board_0BApDNy4b68xPmOWc6g5bB,7,1119.78,0,0,1119.78,4.197
board_0BApDNy4b68xPmOWc6g5bB,8,1163.65,0,0,1163.65,4.197
board_0BApDNy4b68xPmOWc6g5bB,9,1042.86,0,0,1042.86,4.197
board_0BApDNy4b68xPmOWc6g5bB,10,1163.65,0,0,1163.65,4.197
board_0BApDNy4b68xPmOWc6g5bB,11,1116.6,0,0,1116.6,4.197
board_0BApDNy4b68xPmOWc6g5bB,12,1089.91,0,0,1089.91,4.197
board_0BApDNy4b68xPmOWc6g7w6,1,3637.16,0,0,3637.16,13.119
board_0BApDNy4b68xPmOWc6g7w6,2,3195.96,0,0,3195.96,13.119
board_0BApDNy4b68xPmOWc6g7w6,3,3543.81,0,0,3543.81,13.119
board_0BApDNy4b68xPmOWc6g7w6,4,3352.97,0,0,3352.97,13.119
board_0BApDNy4b68xPmOWc6g7w6,5,3637.16,0,0,3637.16,13.119
board_0BApDNy4b68xPmOWc6g7w6,6,3396.74,0,0,3396.74,13.119
board_0BApDNy4b68xPmOWc6g7w6,7,3500.03,0,0,3500.03,13.119
board_0BApDNy4b68xPmOWc6g7w6,8,3637.16,0,0,3637.16,13.119
board_0BApDNy4b68xPmOWc6g7w6,9,3259.62,0,0,3259.62,13.119
board_0BApDNy4b68xPmOWc6g7w6,10,3637.16,0,0,3637.16,13.119
board_0BApDNy4b68xPmOWc6g7w6,11,3490.09,0,0,3490.09,13.119
board_0BApDNy4b68xPmOWc6g7w6,12,3406.68,0,0,3406.68,13.119
board_0BApDNy4b68xPmOWc6g7wd,1,577.79,0,0,577.79,2.084
board_0BApDNy4b68xPmOWc6g7wd,2,507.7,0,0,507.7,2.084
board_0BApDNy4b68xPmOWc6g7wd,3,562.96,0,0,562.96,2.084
board_0BApDNy4b68xPmOWc6g7wd,4,532.65,0,0,532.65,2.084
board_0BApDNy4b68xPmOWc6g7wd,5,577.79,0,0,577.79,2.084
board_0BApDNy4b68xPmOWc6g7wd,6,539.6,0,0,539.6,2.084
board_0BApDNy4b68xPmOWc6g7wd,7,556.01,0,0,556.01,2.084
board_0BApDNy4b68xPmOWc6g7wd,8,577.79,0,0,577.79,2.084
board_0BApDNy4b68xPmOWc6g7wd,9,517.82,0,0,517.82,2.084
board_0BApDNy4b68xPmOWc6g7wd,10,577.79,0,0,577.79,2.084
board_0BApDNy4b68xPmOWc6g7wd,11,554.43,0,0,554.43,2.084
board_0BApDNy4b68xPmOWc6g7wd,12,541.18,0,0,541.18,2.084
board_0BApDNy4b68xPmOWc6gBjW,1,191.91,0,2262.21,2454.12,49.158
board_0BApDNy4b68xPmOWc6gBjW,2,168.63,0,1991.14,2159.77,49.281
board_0BApDNy4b68xPmOWc6gBjW,3,186.98,0,1051.15,1238.13,33.867
board_0BApDNy4b68xPmOWc6gBjW,4,176.91,0,3938.85,4115.76,30.808
board_0BApDNy4b68xPmOWc6gBjW,5,191.91,0,7981.92,8173.83,31.713
board_0BApDNy4b68xPmOWc6gBjW,6,179.22,0,8367.01,8546.23,32.582
board_0BApDNy4b68xPmOWc6gBjW,7,184.67,0,8666.57,8851.24,32.398
board_0BApDNy4b68xPmOWc6gBjW,8,191.91,0,8944.15,9136.06,32.56
board_0BApDNy4b68xPmOWc6gBjW,9,171.99,0,7771.11,7943.09,30.822
board_0BApDNy4b68xPmOWc6gBjW,10,191.91,0,6128.84,6320.75,30.162
board_0BApDNy4b68xPmOWc6gBjW,11,184.15,0,1158.46,1342.6,15.126
board_0BApDNy4b68xPmOWc6gBjW,12,179.75,0,1011.14,1190.89,42.126
board_0YlieLMgD4O9YRLNjlwdJN,1,100.86,0,0,100.86,0.364
board_0YlieLMgD4O9YRLNjlwdJN,2,88.63,0,0,88.63,0.364
board_0YlieLMgD4O9YRLNjlwdJN,3,98.27,0,0,98.27,0.364
board_0YlieLMgD4O9YRLNjlwdJN,4,92.98,0,0,92.98,0.364
board_0YlieLMgD4O9YRLNjlwdJN,5,100.86,0,0,100.86,0.364
board_0YlieLMgD4O9YRLNjlwdJN,6,94.2,0,0,94.2,0.364
board_0YlieLMgD4O9YRLNjlwdJN,7,97.06,0,0,97.06,0.364
board_0YlieLMgD4O9YRLNjlwdJN,8,100.86,0,0,100.86,0.364
board_0YlieLMgD4O9YRLNjlwdJN,9,90.39,0,0,90.39,0.364
board_0YlieLMgD4O9YRLNjlwdJN,10,100.86,0,0,100.86,0.364
board_0YlieLMgD4O9YRLNjlwdJN,11,96.78,0,0,96.78,0.364
board_0YlieLMgD4O9YRLNjlwdJN,12,94.47,0,0,94.47,0.364
board_0YlieLMgD4O9YRLNjlwdJu,1,3805.88,0,0,3805.88,13.727
board_0YlieLMgD4O9YRLNjlwdJu,2,3344.21,0,0,3344.21,13.727
board_0YlieLMgD4O9YRLNjlwdJu,3,3708.2,0,0,3708.2,13.727
board_0YlieLMgD4O9YRLNjlwdJu,4,3508.5,0,0,3508.5,13.727
board_0YlieLMgD4O9YRLNjlwdJu,5,3805.88,0,0,3805.88,13.727
board_0YlieLMgD4O9YRLNjlwdJu,6,3554.31,0,0,3554.31,13.727
board_0YlieLMgD4O9YRLNjlwdJu,7,3662.39,0,0,3662.39,13.727
board_0YlieLMgD4O9YRLNjlwdJu,8,3805.88,0,0,3805.88,13.727
board_0YlieLMgD4O9YRLNjlwdJu,9,3410.82,0,0,3410.82,13.727
board_0YlieLMgD4O9YRLNjlwdJu,10,3805.88,0,0,3805.88,13.727
board_0YlieLMgD4O9YRLNjlwdJu,11,3651.99,0,0,3651.99,13.727
board_0YlieLMgD4O9YRLNjlwdJu,12,3564.71,0,0,3564.71,13.727
board_0irh5V91zCcfh8lHZeV4Fq,1,14.27,0,0,14.27,0.051
board_0irh5V91zCcfh8lHZeV4Fq,2,12.54,0,0,12.54,0.051
board_0irh5V91zCcfh8lHZeV4Fq,3,13.91,0,0,13.91,0.051
board_0irh5V91zCcfh8lHZeV4Fq,4,13.16,0,0,13.16,0.051
board_0irh5V91zCcfh8lHZeV4Fq,5,14.27,0,0,14.27,0.051
board_0irh5V91zCcfh8lHZeV4Fq,6,13.33,0,0,13.33,0.051
board_0irh5V91zCcfh8lHZeV4Fq,7,13.74,0,0,13.74,0.051
board_0irh5V91zCcfh8lHZeV4Fq,8,14.27,0,0,14.27,0.051
board_0irh5V91zCcfh8lHZeV4Fq,9,12.79,0,0,12.79,0.051
board_0irh5V91zCcfh8lHZeV4Fq,10,14.27,0,0,14.27,0.051
board_0irh5V91zCcfh8lHZeV4Fq,11,13.7,0,0,13.7,0.051
board_0irh5V91zCcfh8lHZeV4Fq,12,13.37,0,0,13.37,0.051
board_0v5ZMY9z92W9XFjubzgo4H,1,17.85,0,0,17.85,0.064
board_0v5ZMY9z92W9XFjubzgo4H,2,15.68,0,0,15.68,0.064
board_0v5ZMY9z92W9XFjubzgo4H,3,17.39,0,0,17.39,0.064
board_0v5ZMY9z92W9XFjubzgo4H,4,16.45,0,0,16.45,0.064
board_0v5ZMY9z92W9XFjubzgo4H,5,17.85,0,0,17.85,0.064
board_0v5ZMY9z92W9XFjubzgo4H,6,16.67,0,0,16.67,0.064
board_0v5ZMY9z92W9XFjubzgo4H,7,17.17,0,0,17.17,0.064
board_0v5ZMY9z92W9XFjubzgo4H,8,17.85,0,0,17.85,0.064
board_0v5ZMY9z92W9XFjubzgo4H,9,16.0,0,0,16.0,0.064
board_0v5ZMY9z92W9XFjubzgo4H,10,17.85,0,0,17.85,0.064
board_0v5ZMY9z92W9XFjubzgo4H,11,17.13,0,0,17.13,0.064
board_0v5ZMY9z92W9XFjubzgo4H,12,16.72,0,0,16.72,0.064
board_0v5ZMY9z92W9XFjubzgo4t,1,6.31,0,0,6.31,0.023
board_0v5ZMY9z92W9XFjubzgo4t,2,5.55,0,0,5.55,0.023
board_0v5ZMY9z92W9XFjubzgo4t,3,6.15,0,0,6.15,0.023
board_0v5ZMY9z92W9XFjubzgo4t,4,5.82,0,0,5.82,0.023
