ifc_global_id,ifc_class,kind,field,value,status
1BFJi9GR9EgeQt8GQ9AUhL,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1BFJi9GR9EgeQt8GQ9AUhL,IfcElectricDistributionBoard,board,phase_count,3.0,present
1BFJi9GR9EgeQt8GQ9AUhL,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1BFJi9GR9EgeQt8GQ9AUhL,IfcElectricDistributionBoard,board,system_code,S0301,present
1BFJi9GR9EgeQt8GQ9ASY$,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1BFJi9GR9EgeQt8GQ9ASY$,IfcElectricDistributionBoard,board,phase_count,3.0,present
1BFJi9GR9EgeQt8GQ9ASY$,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1BFJi9GR9EgeQt8GQ9ASY$,IfcElectricDistributionBoard,board,system_code,S0301,present
1BFJi9GR9EgeQt8GQ9AYuy,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1BFJi9GR9EgeQt8GQ9AYuy,IfcElectricDistributionBoard,board,phase_count,3.0,present
1BFJi9GR9EgeQt8GQ9AYuy,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1BFJi9GR9EgeQt8GQ9AYuy,IfcElectricDistributionBoard,board,system_code,S0301,present
1BFJi9GR9EgeQt8GQ9AWs2,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1BFJi9GR9EgeQt8GQ9AWs2,IfcElectricDistributionBoard,board,phase_count,3.0,present
1BFJi9GR9EgeQt8GQ9AWs2,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1BFJi9GR9EgeQt8GQ9AWs2,IfcElectricDistributionBoard,board,system_code,S0301,present
1WxTmsBPD4Sf77udYi3J2P,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1WxTmsBPD4Sf77udYi3J2P,IfcElectricDistributionBoard,board,phase_count,3.0,present
1WxTmsBPD4Sf77udYi3J2P,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1WxTmsBPD4Sf77udYi3J2P,IfcElectricDistributionBoard,board,system_code,S0301,present
1WxTmsBPD4Sf77udYi3J3x,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1WxTmsBPD4Sf77udYi3J3x,IfcElectricDistributionBoard,board,phase_count,3.0,present
1WxTmsBPD4Sf77udYi3J3x,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1WxTmsBPD4Sf77udYi3J3x,IfcElectricDistributionBoard,board,system_code,S0301,present
1WxTmsBPD4Sf77udYi3J3n,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1WxTmsBPD4Sf77udYi3J3n,IfcElectricDistributionBoard,board,phase_count,3.0,present
1WxTmsBPD4Sf77udYi3J3n,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1WxTmsBPD4Sf77udYi3J3n,IfcElectricDistributionBoard,board,system_code,S0301,present
1IIV9b5Dr84eaHsxik87Mo,IfcElectricDistributionBoard,board,voltage_v,400.0,present
1IIV9b5Dr84eaHsxik87Mo,IfcElectricDistributionBoard,board,phase_count,3.0,present
1IIV9b5Dr84eaHsxik87Mo,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
1IIV9b5Dr84eaHsxik87Mo,IfcElectricDistributionBoard,board,system_code,S0301,present
3N5QrrVL56chghraBSbwdo,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3N5QrrVL56chghraBSbwdo,IfcElectricDistributionBoard,board,phase_count,3.0,present
3N5QrrVL56chghraBSbwdo,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
3N5QrrVL56chghraBSbwdo,IfcElectricDistributionBoard,board,system_code,S0301,present
3N5QrrVL56chghraBSbwWJ,IfcElectricDistributionBoard,board,voltage_v,230.0,present
3N5QrrVL56chghraBSbwWJ,IfcElectricDistributionBoard,board,phase_count,1.0,present
3N5QrrVL56chghraBSbwWJ,IfcElectricDistributionBoard,board,rated_current_a,,missing
3N5QrrVL56chghraBSbwWJ,IfcElectricDistributionBoard,board,system_code,D0101,present
3$XGvzQVX2IO92jk20E4kJ,IfcElectricDistributionBoard,board,voltage_v,400.0,present
3$XGvzQVX2IO92jk20E4kJ,IfcElectricDistributionBoard,board,phase_count,3.0,present
3$XGvzQVX2IO92jk20E4kJ,IfcElectricDistributionBoard,board,rated_current_a,0.0,explicit_zero_placeholder
