board_id,ifc_global_id,name,device_tag,ifc_class,predefined_type,object_type,board_kind,floor_id,storey,x,y,z,voltage_v,phase_count,rated_current_a,fuse_rating_a,power_factor,short_circuit_icw_ka,short_circuit_ipk_ka,system_code,system_name,width_mm,height_mm,depth_mm,manufacturer,product_description,rating_present,source_file,source_system,value_class,extraction_confidence,notes,raw_properties_json
board_1BFJi9GR9EgeQt8GQ9AUhL,1BFJi9GR9EgeQt8GQ9AUhL,-,RKE03,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,27.497,47.462,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,3000.0,1900.0,350.0,-,Kiinteistökeskus,False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""RKE03"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 32939}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin kuvaus"": ""Kiinteistökeskus"", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 32975}, ""FI_Geometria"": {""Syvyys"": 350.0, ""Korkeus"": 1900.0, ""Leveys"": 3000.0, ""id"": 32985}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 1900.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 53800.0, ""id"": 33001}}"
board_1BFJi9GR9EgeQt8GQ9ASY_,1BFJi9GR9EgeQt8GQ9ASY$,-,RKE04,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,32.562,44.36,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,3000.0,1900.0,350.0,-,"Keittiökeskus, nousukeskus",False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""RKE04"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 32951}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Geometria"": {""Syvyys"": 350.0, ""Korkeus"": 1900.0, ""Leveys"": 3000.0, ""id"": 32985}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 1900.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 53800.0, ""id"": 33001}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""Tuotetyypin kuvaus"": ""Keittiökeskus, nousukeskus"", ""id"": 33017}}"
board_1BFJi9GR9EgeQt8GQ9AYuy,1BFJi9GR9EgeQt8GQ9AYuy,-,UPS02,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,34.844,54.943,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,1000.0,2200.0,300.0,-,UPS-laite,False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Geometria"": {""Syvyys"": 300.0, ""Leveys"": 1000.0, ""Korkeus"": 2200.0, ""id"": 32935}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""UPS02"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 32973}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2200.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 54100.0, ""id"": 32983}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""UPS-laite"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 33021}}"
board_1BFJi9GR9EgeQt8GQ9AWs2,1BFJi9GR9EgeQt8GQ9AWs2,-,AK01,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,34.854,54.931,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,1000.0,2200.0,300.0,-,"Akusto, UPS",False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Geometria"": {""Syvyys"": 300.0, ""Leveys"": 1000.0, ""Korkeus"": 2200.0, ""id"": 32935}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2200.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 54100.0, ""id"": 32983}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""Laitetunnus"": ""AK01"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 33007}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotetyypin kuvaus"": ""Akusto, UPS"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 33043}}"
board_1WxTmsBPD4Sf77udYi3J2P,1WxTmsBPD4Sf77udYi3J2P,-,JKE01,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,38.543,58.632,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,750.0,2200.0,300.0,-,Talojakamo,False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Geometria"": {""Syvyys"": 300.0, ""Leveys"": 750.0, ""Korkeus"": 2200.0, ""id"": 32937}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2200.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 54100.0, ""id"": 32983}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""JKE01"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 32989}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin kuvaus"": ""Talojakamo"", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 33023}}"
board_1WxTmsBPD4Sf77udYi3J3x,1WxTmsBPD4Sf77udYi3J3x,-,JKE01,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,39.1,57.976,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,750.0,2200.0,300.0,-,Talojakamo,False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Geometria"": {""Syvyys"": 300.0, ""Leveys"": 750.0, ""Korkeus"": 2200.0, ""id"": 32937}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2200.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 54100.0, ""id"": 32983}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""JKE01"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 32989}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin kuvaus"": ""Talojakamo"", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 33023}}"
board_1WxTmsBPD4Sf77udYi3J3n,1WxTmsBPD4Sf77udYi3J3n,-,JKE01,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,39.67,57.305,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,750.0,2200.0,300.0,-,Talojakamo,False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Geometria"": {""Syvyys"": 300.0, ""Leveys"": 750.0, ""Korkeus"": 2200.0, ""id"": 32937}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2200.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 54100.0, ""id"": 32983}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""JKE01"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 32989}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin kuvaus"": ""Talojakamo"", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 33023}}"
board_1IIV9b5Dr84eaHsxik87Mo,1IIV9b5Dr84eaHsxik87Mo,-,UPS01,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,32.288,53.909,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,1500.0,2200.0,300.0,-,UPS-pääkeskus,False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""UPS01"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 32971}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2200.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 54100.0, ""id"": 32983}, ""FI_Geometria"": {""Syvyys"": 300.0, ""Leveys"": 1500.0, ""Korkeus"": 2200.0, ""id"": 32993}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin kuvaus"": ""UPS-pääkeskus"", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 33013}}"
board_3N5QrrVL56chghraBSbwdo,3N5QrrVL56chghraBSbwdo,-,RKE05,IfcElectricDistributionBoard,,,Jakokeskus,floor_basement,00_Kellari,41.055,48.445,51.7,400.0,3.0,0.0,,,0.0,0.0,S0301,Pääjakelu - vaihtosähkö,1500.0,2200.0,300.0,-,"Ryhmäkeskus, kellari",False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tekninen"": {""Nimellisvirta"": 0.0, ""Oikosulkukestoisuusarvo Icw"": 0.0, ""Oikosulkukestoisuusarvo Ipk"": 0.0, ""Vaiheiden lukumäärä"": 3.0, ""Jännite"": 400.0, ""id"": 32927}, ""FI_Komponentti"": {""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""RKE05"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""04 Komponentin yleisnimi"": ""Jakokeskus"", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-005"", ""05 Komponentin yleistunnus"": ""JKE"", ""id"": 32949}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Pääjakelu - vaihtosähkö"", ""Järjestelmien tunnukset"": ""S0301"", ""id"": 32963}, ""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin kuvaus"": ""Ryhmäkeskus, kellari"", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 32969}, ""FI_Asennus"": {""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""12 Komponentin yläpinnan korko, kerroskorosta"": 2200.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""02 Komponentin yläpinnan korko, abs."": 54100.0, ""id"": 32983}, ""FI_Geometria"": {""Syvyys"": 300.0, ""Leveys"": 1500.0, ""Korkeus"": 2200.0, ""id"": 32993}}"
board_3N5QrrVL56chghraBSbwWJ,3N5QrrVL56chghraBSbwWJ,-,RKT01,IfcElectricDistributionBoard,,,Ristikytkentäteline,floor_basement,00_Kellari,42.243,49.049,51.7,230.0,1.0,,,,,,D0101,Yleiskaapelointi,600.0,2000.0,600.0,-,Ristikytkentäteline 800x800x2000,False,ELE_enriched.ifc,ifc_ele,ifc_derived,high,,"{""FI_Tuote"": {""Tuotetyypin kommentti"": ""\""Tuotetyypin kommentti\"""", ""Tuotetyypin kuvaus"": ""Ristikytkentäteline 800x800x2000"", ""Tuotetyypin nimi"": ""-"", ""Tuotetyypin valmistaja"": ""-"", ""Tuotteen kommentti"": ""\""Tuotteen kommentti\"""", ""id"": 32961}, ""FI_Tekninen"": {""Vaiheiden lukumäärä"": 1.0, ""Jännite"": 230.0, ""id"": 32965}, ""FI_Sijainti"": {""Järjestelmien nimet"": ""Yleiskaapelointi"", ""Järjestelmien tunnukset"": ""D0101"", ""id"": 32991}, ""FI_Asennus"": {""02 Komponentin yläpinnan korko, abs."": 53899.998, ""12 Komponentin yläpinnan korko, kerroskorosta"": 1999.998, ""13 Asennuskorko, kerroskorosta"": 0.0, ""14 Komponentin alapinnan korko, kerroskorosta"": 0.0, ""03 Asennuskorko, abs."": 51900.0, ""04 Komponentin alapinnan korko, abs."": 51900.0, ""id"": 33011}, ""FI_Geometria"": {""Leveys"": 600.0, ""Syvyys"": 600.0, ""Korkeus"": 2000.0, ""id"": 33027}, ""FI_Komponentti"": {""04 Komponentin yleisnimi"": ""Ristikytkentäteline"", ""Laitetunnus, yksilöllinen"": ""\""Laitetunnus, yksilöllinen\"""", ""Laitetunnus"": ""RKT01"", ""01 Komponentin pääryhmä"": ""JAKELULAITTEET - SÄH"", ""Status"": ""\""Status\"""", ""02 Komponentin alaryhmä"": ""KESKUSLAITTEET - SÄH"", ""03 Komponentin koodi"": ""T-SAH-03-01-007"", ""05 Komponentin yleistunnus"": ""RKT"", ""id"": 33037}}"
