node_id,node_type,name,label,source_system,source_file,ifc_global_id,eplus_name,xeokit_object_id,zone_id,floor_id,room_id,coordinates,properties_json,value_class,confidence,notes
board_1BFJi9GR9EgeQt8GQ9AUhL,ElectricalBoard,-,RKE03,ifc_ele,ELE_enriched.ifc,1BFJi9GR9EgeQt8GQ9AUhL,,,,floor_basement,,"[27.497, 47.462, 51.7]","{""device_tag"": ""RKE03"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1BFJi9GR9EgeQt8GQ9ASY_,ElectricalBoard,-,RKE04,ifc_ele,ELE_enriched.ifc,1BFJi9GR9EgeQt8GQ9ASY$,,,,floor_basement,,"[32.562, 44.36, 51.7]","{""device_tag"": ""RKE04"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1BFJi9GR9EgeQt8GQ9AYuy,ElectricalBoard,-,UPS02,ifc_ele,ELE_enriched.ifc,1BFJi9GR9EgeQt8GQ9AYuy,,,,floor_basement,,"[34.844, 54.943, 51.7]","{""device_tag"": ""UPS02"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1BFJi9GR9EgeQt8GQ9AWs2,ElectricalBoard,-,AK01,ifc_ele,ELE_enriched.ifc,1BFJi9GR9EgeQt8GQ9AWs2,,,,floor_basement,,"[34.854, 54.931, 51.7]","{""device_tag"": ""AK01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1WxTmsBPD4Sf77udYi3J2P,ElectricalBoard,-,JKE01,ifc_ele,ELE_enriched.ifc,1WxTmsBPD4Sf77udYi3J2P,,,,floor_basement,,"[38.543, 58.632, 51.7]","{""device_tag"": ""JKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1WxTmsBPD4Sf77udYi3J3x,ElectricalBoard,-,JKE01,ifc_ele,ELE_enriched.ifc,1WxTmsBPD4Sf77udYi3J3x,,,,floor_basement,,"[39.1, 57.976, 51.7]","{""device_tag"": ""JKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1WxTmsBPD4Sf77udYi3J3n,ElectricalBoard,-,JKE01,ifc_ele,ELE_enriched.ifc,1WxTmsBPD4Sf77udYi3J3n,,,,floor_basement,,"[39.67, 57.305, 51.7]","{""device_tag"": ""JKE01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_1IIV9b5Dr84eaHsxik87Mo,ElectricalBoard,-,UPS01,ifc_ele,ELE_enriched.ifc,1IIV9b5Dr84eaHsxik87Mo,,,,floor_basement,,"[32.288, 53.909, 51.7]","{""device_tag"": ""UPS01"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3N5QrrVL56chghraBSbwdo,ElectricalBoard,-,RKE05,ifc_ele,ELE_enriched.ifc,3N5QrrVL56chghraBSbwdo,,,,floor_basement,,"[41.055, 48.445, 51.7]","{""device_tag"": ""RKE05"", ""voltage_v"": ""400.0"", ""phase_count"": ""3.0"", ""rated_current_a"": ""0.0"", ""power_factor"": """", ""system_code"": ""S0301"", ""system_name"": ""Pääjakelu - vaihtosähkö"", ""board_kind"": ""Jakokeskus""}",ifc_derived,high,
board_3N5QrrVL56chghraBSbwWJ,ElectricalBoard,-,RKT01,ifc_ele,ELE_enriched.ifc,3N5QrrVL56chghraBSbwWJ,,,,floor_basement,,"[42.243, 49.049, 51.7]","{""device_tag"": ""RKT01"", ""voltage_v"": ""230.0"", ""phase_count"": ""1.0"", ""rated_current_a"": """", ""power_factor"": """", ""system_code"": ""D0101"", ""system_name"": ""Yleiskaapelointi"", ""board_kind"": ""Ristikytkentäteline""}",ifc_derived,high,
