load_point_id,circuit_id,board_id,category,system_code,mapping_method,mapping_confidence
lp_0fm3GrOJ5Cmh0l9GPspjan,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMB_,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMBt,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMBm,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMB2,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMBV,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMBG,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMAf,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMAy,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMAv,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMAF,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0Jyw_nkB15f842xTCAbMA5,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv89d,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv89i,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv88O,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv886,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv88n,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv88q,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv88_,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,board_3_XGvzQVX2IO92jk20E4kJ,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8Bz,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
lp_0aAr_qi8TBnPSZscFvv8Be,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,board_1BFJi9GR9EgeQt8GQ9ASY_,lights,S0301,system_code+floor+nearest,medium
