item_id,subject_id,subject_type,reason,recommended_action,confidence,fields
mr_board_1BFJi9GR9EgeQt8GQ9AUhL_0,board_1BFJi9GR9EgeQt8GQ9AUhL,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE03'}
mr_board_1BFJi9GR9EgeQt8GQ9ASY__1,board_1BFJi9GR9EgeQt8GQ9ASY_,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE04'}
mr_board_1BFJi9GR9EgeQt8GQ9AYuy_2,board_1BFJi9GR9EgeQt8GQ9AYuy,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'UPS02'}
mr_board_1BFJi9GR9EgeQt8GQ9AWs2_3,board_1BFJi9GR9EgeQt8GQ9AWs2,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'AK01'}
mr_board_1WxTmsBPD4Sf77udYi3J2P_4,board_1WxTmsBPD4Sf77udYi3J2P,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'JKE01'}
mr_board_1WxTmsBPD4Sf77udYi3J3x_5,board_1WxTmsBPD4Sf77udYi3J3x,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'JKE01'}
mr_board_1WxTmsBPD4Sf77udYi3J3n_6,board_1WxTmsBPD4Sf77udYi3J3n,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'JKE01'}
mr_board_1IIV9b5Dr84eaHsxik87Mo_7,board_1IIV9b5Dr84eaHsxik87Mo,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'UPS01'}
mr_board_3N5QrrVL56chghraBSbwdo_8,board_3N5QrrVL56chghraBSbwdo,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE05'}
mr_board_3N5QrrVL56chghraBSbwWJ_9,board_3N5QrrVL56chghraBSbwWJ,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_3_XGvzQVX2IO92jk20E4kJ_10,board_3_XGvzQVX2IO92jk20E4kJ,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE06'}
mr_board_3_XGvzQVX2IO92jk20E2M__11,board_3_XGvzQVX2IO92jk20E2M_,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKE07'}
mr_board_3_XGvzQVX2IO92jk20E2MP_12,board_3_XGvzQVX2IO92jk20E2MP,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'RKT01'}
mr_board_0YlieLMgD4O9YRLNjlwdJN_13,board_0YlieLMgD4O9YRLNjlwdJN,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'JKE02'}
mr_board_0YlieLMgD4O9YRLNjlwdJu_14,board_0YlieLMgD4O9YRLNjlwdJu,ElectricalBoard,rated current missing/zero (placeholder),enter real Nimellisvirta from the panel schedule to enable overload analysis,manual_review,{'device_tag': 'JKE02'}
