zone_id,total_kwh,lights_kwh,equipment_kwh,hvac_kwh,peak_kw
tz_3eHc4RiQ5C9u5ExHSqeXq_,79.62,26.05,13.52,40.05,0.06
tz_0dEbiQb1r6fw7CerSu3TP7,662.83,199.24,172.33,291.26,0.32
tz_3I0Kk3lRLDw8v2w0zwpO7q,696.23,209.57,181.26,305.4,0.33
tz_3I0Kk3lRLDw8v2w0zwpO6D,706.19,212.58,183.87,309.74,0.34
tz_1d5Bmt5s12axuaGQA2o2sr,5228.06,2671.11,924.13,1632.82,3.5
tz_3xtnrBUgHBCwRh_xfyB8zE,9524.18,4857.57,1680.59,2986.01,6.64
tz_3jzuKaCoj7duM8YUpx6KXa,707.26,326.47,112.95,267.85,0.53
tz_3jzuKaCoj7duM8YUpx6Khz,469.42,206.1,71.31,192.02,0.37
tz_1ihDn_IqL2a8bCCZUoYp0R,148.62,54.35,56.41,37.87,0.07
tz_1ihDn_IqL2a8bCCZUoYp27,148.87,54.35,56.41,38.11,0.07
tz_1ihDn_IqL2a8bCCZUoYp3L,143.85,54.35,56.41,33.09,0.07
tz_1ihDn_IqL2a8bCCZUoYp7M,145.58,54.35,56.41,34.83,0.07
tz_1ihDn_IqL2a8bCCZUoYpTz,145.52,54.35,56.41,34.77,0.07
tz_1ihDn_IqL2a8bCCZUoYpU7,145.7,54.35,56.41,34.94,0.07
tz_1ihDn_IqL2a8bCCZUoYpIG,144.34,54.35,56.41,33.58,0.07
tz_1ihDn_IqL2a8bCCZUoYpME,146.45,54.35,56.41,35.69,0.07
tz_1ihDn_IqL2a8bCCZUoYpgl,147.28,54.35,56.41,36.53,0.07
tz_1ihDn_IqL2a8bCCZUoYpZ5,146.72,54.35,56.41,35.96,0.07
tz_1ihDn_IqL2a8bCCZUoYpaF,146.81,54.35,56.41,36.05,0.07
tz_1ihDn_IqL2a8bCCZUoYpb_,147.13,54.35,56.41,36.38,0.07
tz_0Q4MSUQx531vKL_w06AgFJ,1038.62,470.51,162.78,405.32,0.76
tz_0Q4MSUQx531vKL_w06AgFD,1004.34,463.76,160.45,380.12,0.75
tz_0Q4MSUQx531vKL_w06AgFH,25540.81,8642.13,10763.83,6134.85,9.03
tz_0Q4MSUQx531vKL_w06Ag5_,10515.11,3554.37,4426.99,2533.74,3.72
tz_2T7gRjEFvBgRaNLZHAfFFA,102.18,31.14,16.16,54.89,0.07
tz_2zj90NfNL65vjsnTedSQQ0,440.68,64.72,268.68,107.28,0.19
tz_2T7gRjEFvBgRaNLZHAfFna,83.79,24.03,12.47,47.3,0.07
tz_2DkesObgH6N86CUi08jTVP,763.78,230.65,199.49,333.65,0.38
tz_3eHc4RiQ5C9u5ExHSqeWrs,106.95,33.07,17.16,56.73,0.08
tz_1auGEtVRb3NhFYfyi2P6vw,4806.5,1488.7,1287.63,2030.17,2.0
