zone_id,eplus_zone_name,load_category,board_id,circuit_id,phase,weight,mapping_method,mapping_confidence,value_class,evidence,notes
tz_2Xe6rbtYzAqhfyXbKpPSqj,ZN_0001_12B24915,lights,board_1T4Dk9Ojj9rOi06EMenZ3N,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,,1.0,floor_dominant_lights,low,assumption_based,"{""reason"": ""no load points of this category in zone""}",
tz_2Xe6rbtYzAqhfyXbKpPSqj,ZN_0001_12B24915,equipment,board_1T4Dk9Ojj9rOi06EMenZ3N,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_equipment,,1.0,floor_lighting_board_proxy,low,assumption_based,"{""reason"": ""no load points of this category in zone""}",
tz_2Xe6rbtYzAqhfyXbKpPSqj,ZN_0001_12B24915,hvac,board_1T4Dk9Ojj9rOi06EMenZ3N,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_hvac,,1.0,pseudo_hvac_floor_main,low,assumption_based,"{""reason"": ""no IFC HVAC->board link; pseudo HVAC circuit (estimated)""}",
tz_2Xe6rbtYzAqhfyXbKpPSmb,ZN_0002_2F584023,lights,board_1T4Dk9Ojj9rOi06EMenZ3N,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_lights,,1.0,floor_dominant_lights,low,assumption_based,"{""reason"": ""no load points of this category in zone""}",
tz_2Xe6rbtYzAqhfyXbKpPSmb,ZN_0002_2F584023,equipment,board_1T4Dk9Ojj9rOi06EMenZ3N,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_equipment,,1.0,floor_lighting_board_proxy,low,assumption_based,"{""reason"": ""no load points of this category in zone""}",
tz_2Xe6rbtYzAqhfyXbKpPSmb,ZN_0002_2F584023,hvac,board_1T4Dk9Ojj9rOi06EMenZ3N,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_hvac,,1.0,pseudo_hvac_floor_main,low,assumption_based,"{""reason"": ""no IFC HVAC->board link; pseudo HVAC circuit (estimated)""}",
tz_2T7gRjEFvBgRaNLZHAfExM,ZN_0003_4700456C,lights,board_3_XGvzQVX2IO92jk20E4kJ,circuit_board_3_XGvzQVX2IO92jk20E4kJ_lights,,1.0,load_point_aggregation,low,spatially_inferred,"{""n_load_points"": 5, ""n_boards"": 1, ""system_codes"": [""S0301"", ""T0101""]}",
tz_2T7gRjEFvBgRaNLZHAfExM,ZN_0003_4700456C,equipment,board_1T4Dk9Ojj9rOi06EMenZ3N,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_equipment,,1.0,floor_lighting_board_proxy,low,assumption_based,"{""reason"": ""no load points of this category in zone""}",
tz_2T7gRjEFvBgRaNLZHAfExM,ZN_0003_4700456C,hvac,board_1T4Dk9Ojj9rOi06EMenZ3N,circuit_board_1T4Dk9Ojj9rOi06EMenZ3N_hvac,,1.0,pseudo_hvac_floor_main,low,assumption_based,"{""reason"": ""no IFC HVAC->board link; pseudo HVAC circuit (estimated)""}",
tz_2QItuhiMv8FuPzP3Ob1NJb,ZN_0004_25E92350,lights,board_1BFJi9GR9EgeQt8GQ9ASY_,circuit_board_1BFJi9GR9EgeQt8GQ9ASY__lights,,1.0,load_point_aggregation,medium,spatially_inferred,"{""n_load_points"": 3, ""n_boards"": 1, ""system_codes"": [""S0301""]}",
