eplus_zone_name,lights_object_name,electric_equipment_object_name,ptac_object_name,fan_object_name,cooling_coil_object_name,heating_coil_object_name
ZN_0001_12B24915,ZN_0001_12B24915_Lights,ZN_0001_12B24915_Equipment,ZN_0001_12B24915_PTAC,ZN_0001_12B24915_PTAC_FAN,ZN_0001_12B24915_PTAC_DX_COOL,ZN_0001_12B24915_PTAC_ELEC_HEAT
ZN_0002_2F584023,ZN_0002_2F584023_Lights,ZN_0002_2F584023_Equipment,ZN_0002_2F584023_PTAC,ZN_0002_2F584023_PTAC_FAN,ZN_0002_2F584023_PTAC_DX_COOL,ZN_0002_2F584023_PTAC_ELEC_HEAT
ZN_0003_4700456C,ZN_0003_4700456C_Lights,ZN_0003_4700456C_Equipment,ZN_0003_4700456C_PTAC,ZN_0003_4700456C_PTAC_FAN,ZN_0003_4700456C_PTAC_DX_COOL,ZN_0003_4700456C_PTAC_ELEC_HEAT
ZN_0004_25E92350,ZN_0004_25E92350_Lights,ZN_0004_25E92350_Equipment,ZN_0004_25E92350_PTAC,ZN_0004_25E92350_PTAC_FAN,ZN_0004_25E92350_PTAC_DX_COOL,ZN_0004_25E92350_PTAC_ELEC_HEAT
ZN_0005_EFA813DD,ZN_0005_EFA813DD_Lights,ZN_0005_EFA813DD_Equipment,ZN_0005_EFA813DD_PTAC,ZN_0005_EFA813DD_PTAC_FAN,ZN_0005_EFA813DD_PTAC_DX_COOL,ZN_0005_EFA813DD_PTAC_ELEC_HEAT
ZN_0006_4407D7F3,ZN_0006_4407D7F3_Lights,ZN_0006_4407D7F3_Equipment,ZN_0006_4407D7F3_PTAC,ZN_0006_4407D7F3_PTAC_FAN,ZN_0006_4407D7F3_PTAC_DX_COOL,ZN_0006_4407D7F3_PTAC_ELEC_HEAT
ZN_0007_D6F3BDF2,ZN_0007_D6F3BDF2_Lights,ZN_0007_D6F3BDF2_Equipment,,,,
ZN_0008_AACD45D4,ZN_0008_AACD45D4_Lights,ZN_0008_AACD45D4_Equipment,ZN_0008_AACD45D4_PTAC,ZN_0008_AACD45D4_PTAC_FAN,ZN_0008_AACD45D4_PTAC_DX_COOL,ZN_0008_AACD45D4_PTAC_ELEC_HEAT
ZN_0009_4DD171D8,ZN_0009_4DD171D8_Lights,ZN_0009_4DD171D8_Equipment,ZN_0009_4DD171D8_PTAC,ZN_0009_4DD171D8_PTAC_FAN,ZN_0009_4DD171D8_PTAC_DX_COOL,ZN_0009_4DD171D8_PTAC_ELEC_HEAT
ZN_0010_CDF1301F,ZN_0010_CDF1301F_Lights,ZN_0010_CDF1301F_Equipment,ZN_0010_CDF1301F_PTAC,ZN_0010_CDF1301F_PTAC_FAN,ZN_0010_CDF1301F_PTAC_DX_COOL,ZN_0010_CDF1301F_PTAC_ELEC_HEAT
ZN_0011_666FDF42,ZN_0011_666FDF42_Lights,ZN_0011_666FDF42_Equipment,ZN_0011_666FDF42_PTAC,ZN_0011_666FDF42_PTAC_FAN,ZN_0011_666FDF42_PTAC_DX_COOL,ZN_0011_666FDF42_PTAC_ELEC_HEAT
ZN_0012_CCD0FB84,ZN_0012_CCD0FB84_Lights,ZN_0012_CCD0FB84_Equipment,ZN_0012_CCD0FB84_PTAC,ZN_0012_CCD0FB84_PTAC_FAN,ZN_0012_CCD0FB84_PTAC_DX_COOL,ZN_0012_CCD0FB84_PTAC_ELEC_HEAT
ZN_0013_CA43A6D5,ZN_0013_CA43A6D5_Lights,ZN_0013_CA43A6D5_Equipment,ZN_0013_CA43A6D5_PTAC,ZN_0013_CA43A6D5_PTAC_FAN,ZN_0013_CA43A6D5_PTAC_DX_COOL,ZN_0013_CA43A6D5_PTAC_ELEC_HEAT
ZN_0014_216FB997,ZN_0014_216FB997_Lights,ZN_0014_216FB997_Equipment,ZN_0014_216FB997_PTAC,ZN_0014_216FB997_PTAC_FAN,ZN_0014_216FB997_PTAC_DX_COOL,ZN_0014_216FB997_PTAC_ELEC_HEAT
