edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_sea_level,building_greenflow_archetype,floor_sea_level,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_foundation,building_greenflow_archetype,floor_foundation,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_basement,building_greenflow_archetype,floor_basement,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_level_01,building_greenflow_archetype,floor_level_01,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_level_02a_parking,building_greenflow_archetype,floor_level_02a_parking,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_level_02,building_greenflow_archetype,floor_level_02,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_level_03,building_greenflow_archetype,floor_level_03,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_level_04,building_greenflow_archetype,floor_level_04,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_level_05,building_greenflow_archetype,floor_level_05,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
building_greenflow_archetype__BUILDING_HAS_FLOOR__floor_roof,building_greenflow_archetype,floor_roof,BUILDING_HAS_FLOOR,directed,,ifc_arch,ifc_aggregation,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2Xe6rbtYzAqhfyXbKpPSqj,floor_basement,tz_2Xe6rbtYzAqhfyXbKpPSqj,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2Xe6rbtYzAqhfyXbKpPSqj__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0001_12B24915,tz_2Xe6rbtYzAqhfyXbKpPSqj,ez_ZN_0001_12B24915,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2Xe6rbtYzAqhfyXbKpPSmb,floor_basement,tz_2Xe6rbtYzAqhfyXbKpPSmb,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2Xe6rbtYzAqhfyXbKpPSmb__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0002_2F584023,tz_2Xe6rbtYzAqhfyXbKpPSmb,ez_ZN_0002_2F584023,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2T7gRjEFvBgRaNLZHAfExM,floor_basement,tz_2T7gRjEFvBgRaNLZHAfExM,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2T7gRjEFvBgRaNLZHAfExM__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0003_4700456C,tz_2T7gRjEFvBgRaNLZHAfExM,ez_ZN_0003_4700456C,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2QItuhiMv8FuPzP3Ob1NJb,floor_basement,tz_2QItuhiMv8FuPzP3Ob1NJb,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2QItuhiMv8FuPzP3Ob1NJb__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0004_25E92350,tz_2QItuhiMv8FuPzP3Ob1NJb,ez_ZN_0004_25E92350,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2W9Cn8Smn0xwjpo8lUzELc,floor_basement,tz_2W9Cn8Smn0xwjpo8lUzELc,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2W9Cn8Smn0xwjpo8lUzELc__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0005_EFA813DD,tz_2W9Cn8Smn0xwjpo8lUzELc,ez_ZN_0005_EFA813DD,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_38X23Znkr2XwCxu0x_LNZN,floor_basement,tz_38X23Znkr2XwCxu0x_LNZN,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_38X23Znkr2XwCxu0x_LNZN__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0006_4407D7F3,tz_38X23Znkr2XwCxu0x_LNZN,ez_ZN_0006_4407D7F3,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_1VG1As2i9CNAES2YSNmuPp,floor_basement,tz_1VG1As2i9CNAES2YSNmuPp,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_1VG1As2i9CNAES2YSNmuPp__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0007_D6F3BDF2,tz_1VG1As2i9CNAES2YSNmuPp,ez_ZN_0007_D6F3BDF2,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_2jhaHNpo55guKudM9wZa7X,floor_basement,tz_2jhaHNpo55guKudM9wZa7X,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_2jhaHNpo55guKudM9wZa7X__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0008_AACD45D4,tz_2jhaHNpo55guKudM9wZa7X,ez_ZN_0008_AACD45D4,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_1d5Bmt5s12axuaGQA2o2sr,floor_basement,tz_1d5Bmt5s12axuaGQA2o2sr,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_1d5Bmt5s12axuaGQA2o2sr__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0009_4DD171D8,tz_1d5Bmt5s12axuaGQA2o2sr,ez_ZN_0009_4DD171D8,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3xtnrBUgHBCwRh_xfyB8zE,floor_level_01,tz_3xtnrBUgHBCwRh_xfyB8zE,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3xtnrBUgHBCwRh_xfyB8zE__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0010_CDF1301F,tz_3xtnrBUgHBCwRh_xfyB8zE,ez_ZN_0010_CDF1301F,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_1CEwDhGXz6rf1qZbuMomS3,floor_level_01,tz_1CEwDhGXz6rf1qZbuMomS3,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_1CEwDhGXz6rf1qZbuMomS3__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0011_666FDF42,tz_1CEwDhGXz6rf1qZbuMomS3,ez_ZN_0011_666FDF42,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3eHc4RiQ5C9u5ExHSqeXsn,floor_level_01,tz_3eHc4RiQ5C9u5ExHSqeXsn,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3eHc4RiQ5C9u5ExHSqeXsn__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0012_CCD0FB84,tz_3eHc4RiQ5C9u5ExHSqeXsn,ez_ZN_0012_CCD0FB84,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3jzuKaCoj7duM8YUpx6KXa,floor_level_01,tz_3jzuKaCoj7duM8YUpx6KXa,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3jzuKaCoj7duM8YUpx6KXa__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0013_CA43A6D5,tz_3jzuKaCoj7duM8YUpx6KXa,ez_ZN_0013_CA43A6D5,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3jzuKaCoj7duM8YUpx6IdZ,floor_level_01,tz_3jzuKaCoj7duM8YUpx6IdZ,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3jzuKaCoj7duM8YUpx6IdZ__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0014_216FB997,tz_3jzuKaCoj7duM8YUpx6IdZ,ez_ZN_0014_216FB997,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_level_01__FLOOR_HAS_ROOM__tz_3jzuKaCoj7duM8YUpx6Khz,floor_level_01,tz_3jzuKaCoj7duM8YUpx6Khz,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_3jzuKaCoj7duM8YUpx6Khz__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0015_F88985B3,tz_3jzuKaCoj7duM8YUpx6Khz,ez_ZN_0015_F88985B3,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_0qZtwNut1C6QT5uDplIc_N,floor_basement,tz_0qZtwNut1C6QT5uDplIc_N,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_0qZtwNut1C6QT5uDplIc_N__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0016_403E76CD,tz_0qZtwNut1C6QT5uDplIc_N,ez_ZN_0016_403E76CD,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_1mvwF0Vfb88Ad0u_CxGh8v,floor_basement,tz_1mvwF0Vfb88Ad0u_CxGh8v,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_1mvwF0Vfb88Ad0u_CxGh8v__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0017_645665DC,tz_1mvwF0Vfb88Ad0u_CxGh8v,ez_ZN_0017_645665DC,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_1mvwF0Vfb88Ad0u_CxGhB1,floor_basement,tz_1mvwF0Vfb88Ad0u_CxGhB1,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_1mvwF0Vfb88Ad0u_CxGhB1__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0018_FF16F60F,tz_1mvwF0Vfb88Ad0u_CxGhB1,ez_ZN_0018_FF16F60F,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_1mvwF0Vfb88Ad0u_CxGgL_,floor_basement,tz_1mvwF0Vfb88Ad0u_CxGgL_,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_1mvwF0Vfb88Ad0u_CxGgL___ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0019_E1546479,tz_1mvwF0Vfb88Ad0u_CxGgL_,ez_ZN_0019_E1546479,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
floor_basement__FLOOR_HAS_ROOM__tz_1mvwF0Vfb88Ad0u_CxGgLz,floor_basement,tz_1mvwF0Vfb88Ad0u_CxGgLz,FLOOR_HAS_ROOM,directed,,ifc_arch,ifc_storey_containment,high,{},
tz_1mvwF0Vfb88Ad0u_CxGgLz__ZONE_MAPS_TO_EPLUS_ZONE__ez_ZN_0020_E4647E0B,tz_1mvwF0Vfb88Ad0u_CxGgLz,ez_ZN_0020_E4647E0B,ZONE_MAPS_TO_EPLUS_ZONE,directed,,greenflow_postprocess,gold_zone_id_identity,exact,{},
