node_id,node_type,name,label,source_system,source_file,ifc_global_id,eplus_name,xeokit_object_id,zone_id,floor_id,room_id,coordinates,properties_json,value_class,confidence,notes
building_greenflow_archetype,Building,Nordic LCA Office,Nordic LCA Office,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,,,,{},ifc_derived,exact,
floor_sea_level,Floor,Sea Level,Sea Level,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_sea_level,,,"{""floor_index"": ""0"", ""elevation_m"": ""-0.0""}",ifc_derived,exact,
floor_foundation,Floor,Foundation,Foundation,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_foundation,,,"{""floor_index"": ""1"", ""elevation_m"": ""51.0""}",ifc_derived,exact,
floor_basement,Floor,Basement,Basement,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_basement,,,"{""floor_index"": ""2"", ""elevation_m"": ""51.7""}",ifc_derived,exact,
floor_level_01,Floor,Level_01,Level_01,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_level_01,,,"{""floor_index"": ""3"", ""elevation_m"": ""55.5""}",ifc_derived,exact,
floor_level_02a_parking,Floor,Level_02a_Parking,Level_02a_Parking,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_level_02a_parking,,,"{""floor_index"": ""4"", ""elevation_m"": ""58.9""}",ifc_derived,exact,
floor_level_02,Floor,Level_02,Level_02,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_level_02,,,"{""floor_index"": ""5"", ""elevation_m"": ""59.7""}",ifc_derived,exact,
floor_level_03,Floor,Level_03,Level_03,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_level_03,,,"{""floor_index"": ""6"", ""elevation_m"": ""63.65""}",ifc_derived,exact,
floor_level_04,Floor,Level_04,Level_04,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_level_04,,,"{""floor_index"": ""7"", ""elevation_m"": ""67.6""}",ifc_derived,exact,
floor_level_05,Floor,Level_05,Level_05,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_level_05,,,"{""floor_index"": ""8"", ""elevation_m"": ""71.92""}",ifc_derived,exact,
floor_roof,Floor,Roof,Roof,ifc_arch,ARCH_AsBuilt_enriched.ifc,,,,,floor_roof,,,"{""floor_index"": ""9"", ""elevation_m"": ""77.89""}",ifc_derived,exact,
tz_2Xe6rbtYzAqhfyXbKpPSqj,ThermalZone,STAIRCASE,STAIRCASE,ifc_arch,ARCH_AsBuilt_enriched.ifc,2Xe6rbtYzAqhfyXbKpPSqj,ZN_0001_12B24915,,tz_2Xe6rbtYzAqhfyXbKpPSqj,floor_basement,room_2Xe6rbtYzAqhfyXbKpPSqj,,"{""room_type"": ""circulation"", ""area_m2"": ""25.3945"", ""volume_m3"": ""96.4991"", ""usage_type"": ""ifc_supported_ptac""}",ifc_derived,high,
ez_ZN_0001_12B24915,EnergyPlusZone,ZN_0001_12B24915,ZN_0001_12B24915,energyplus,IDF_FILE.idf,,ZN_0001_12B24915,,tz_2Xe6rbtYzAqhfyXbKpPSqj,floor_basement,,,{},energyplus_simulated,exact,
tz_2Xe6rbtYzAqhfyXbKpPSmb,ThermalZone,STAIRCASE,STAIRCASE,ifc_arch,ARCH_AsBuilt_enriched.ifc,2Xe6rbtYzAqhfyXbKpPSmb,ZN_0002_2F584023,,tz_2Xe6rbtYzAqhfyXbKpPSmb,floor_basement,room_2Xe6rbtYzAqhfyXbKpPSmb,,"{""room_type"": ""circulation"", ""area_m2"": ""27.084"", ""volume_m3"": ""102.919"", ""usage_type"": ""ifc_supported_ptac""}",ifc_derived,high,
ez_ZN_0002_2F584023,EnergyPlusZone,ZN_0002_2F584023,ZN_0002_2F584023,energyplus,IDF_FILE.idf,,ZN_0002_2F584023,,tz_2Xe6rbtYzAqhfyXbKpPSmb,floor_basement,,,{},energyplus_simulated,exact,
tz_2T7gRjEFvBgRaNLZHAfExM,ThermalZone,STAIRCASE,STAIRCASE,ifc_arch,ARCH_AsBuilt_enriched.ifc,2T7gRjEFvBgRaNLZHAfExM,ZN_0003_4700456C,,tz_2T7gRjEFvBgRaNLZHAfExM,floor_basement,room_2T7gRjEFvBgRaNLZHAfExM,,"{""room_type"": ""circulation"", ""area_m2"": ""15.4939"", ""volume_m3"": ""58.8768"", ""usage_type"": ""ifc_supported_ptac""}",ifc_derived,high,
ez_ZN_0003_4700456C,EnergyPlusZone,ZN_0003_4700456C,ZN_0003_4700456C,energyplus,IDF_FILE.idf,,ZN_0003_4700456C,,tz_2T7gRjEFvBgRaNLZHAfExM,floor_basement,,,{},energyplus_simulated,exact,
