edge_id,source_node_id,target_node_id,relationship_type,direction,weight,source,method,confidence,evidence_json,notes
dev_22jIiQtMv78BLgWmZ_6znE__HVAC_DEVICE_SERVES_ZONE__tz_3VjWRBBpP8T92ljLOxqe1U,dev_22jIiQtMv78BLgWmZ_6znE,tz_3VjWRBBpP8T92ljLOxqe1U,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 3.37}",
dev_22jIiQtMv78BLgWmZ_6ztP__HVAC_DEVICE_SERVES_ZONE__tz_0SCHpckP52uejwTkqQppMe,dev_22jIiQtMv78BLgWmZ_6ztP,tz_0SCHpckP52uejwTkqQppMe,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 3.38}",
dev_22jIiQtMv78BLgWmZ_6zql__HVAC_DEVICE_SERVES_ZONE__tz_1ct5EDQ3f00e2ZWyRvpNyV,dev_22jIiQtMv78BLgWmZ_6zql,tz_1ct5EDQ3f00e2ZWyRvpNyV,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 2.89}",
dev_22jIiQtMv78BLgWmZ_6zqp__HVAC_DEVICE_SERVES_ZONE__tz_0_1BZVDc5BxwJSwnsVxduk,dev_22jIiQtMv78BLgWmZ_6zqp,tz_0_1BZVDc5BxwJSwnsVxduk,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 0.86}",
dev_22jIiQtMv78BLgWmZ_6zq1__HVAC_DEVICE_SERVES_ZONE__tz_3VjWRBBpP8T92ljLOxqe1U,dev_22jIiQtMv78BLgWmZ_6zq1,tz_3VjWRBBpP8T92ljLOxqe1U,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 3.45}",
dev_22jIiQtMv78BLgWmZ_6zfb__HVAC_DEVICE_SERVES_ZONE__tz_0SCHpckP52uejwTkqQppKQ,dev_22jIiQtMv78BLgWmZ_6zfb,tz_0SCHpckP52uejwTkqQppKQ,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 2.85}",
dev_22jIiQtMv78BLgWmZ_6zb___HVAC_DEVICE_SERVES_ZONE__tz_3VjWRBBpP8T92ljLOxqe1U,dev_22jIiQtMv78BLgWmZ_6zb_,tz_3VjWRBBpP8T92ljLOxqe1U,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 0.87}",
dev_22jIiQtMv78BLgWmZ_6_Qq__HVAC_DEVICE_SERVES_ZONE__tz_0SCHpckP52uejwTkqQppMe,dev_22jIiQtMv78BLgWmZ_6_Qq,tz_0SCHpckP52uejwTkqQppMe,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 0.91}",
dev_22jIiQtMv78BLgWmZ_6_Q4__HVAC_DEVICE_SERVES_ZONE__tz_1ct5EDQ3f00e2ZWyRvpNyV,dev_22jIiQtMv78BLgWmZ_6_Q4,tz_1ct5EDQ3f00e2ZWyRvpNyV,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 0.98}",
dev_22jIiQtMv78BLgWmZ_6_O6__HVAC_DEVICE_SERVES_ZONE__tz_36Blhdds16DOgkiAVsPwfN,dev_22jIiQtMv78BLgWmZ_6_O6,tz_36Blhdds16DOgkiAVsPwfN,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 1.22}",
dev_22jIiQtMv78BLgWmZ_6_k9__HVAC_DEVICE_SERVES_ZONE__tz_0_1BZVDc5BxwJSwnsVxduk,dev_22jIiQtMv78BLgWmZ_6_k9,tz_0_1BZVDc5BxwJSwnsVxduk,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 0.76}",
dev_22jIiQtMv78BLgWmZ_6_W8__HVAC_DEVICE_SERVES_ZONE__tz_0x2YWQZaL7RuBo3f9SkzJQ,dev_22jIiQtMv78BLgWmZ_6_W8,tz_0x2YWQZaL7RuBo3f9SkzJQ,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 1.34}",
dev_22jIiQtMv78BLgWmZ_6_cb__HVAC_DEVICE_SERVES_ZONE__tz_0_1BZVDc5BxwJSwnsVxduk,dev_22jIiQtMv78BLgWmZ_6_cb,tz_0_1BZVDc5BxwJSwnsVxduk,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 0.57}",
dev_22jIiQtMv78BLgWmZ_6mVi__HVAC_DEVICE_SERVES_ZONE__tz_0SCHpckP52uejwTkqQppKQ,dev_22jIiQtMv78BLgWmZ_6mVi,tz_0SCHpckP52uejwTkqQppKQ,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 1.08}",
dev_22jIiQtMv78BLgWmZ_6mMj__HVAC_DEVICE_SERVES_ZONE__tz_1VG1As2i9CNAES2YSNmuPp,dev_22jIiQtMv78BLgWmZ_6mMj,tz_1VG1As2i9CNAES2YSNmuPp,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,low,"{""distance_m"": 6.18}",
dev_22jIiQtMv78BLgWmZ_6mK5__HVAC_DEVICE_SERVES_ZONE__tz_1VG1As2i9CNAES2YSNmuPp,dev_22jIiQtMv78BLgWmZ_6mK5,tz_1VG1As2i9CNAES2YSNmuPp,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 3.32}",
dev_22jIiQtMv78BLgWmZ_6mBz__HVAC_DEVICE_SERVES_ZONE__tz_38X23Znkr2XwCxu0x_LNZN,dev_22jIiQtMv78BLgWmZ_6mBz,tz_38X23Znkr2XwCxu0x_LNZN,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 4.84}",
dev_22jIiQtMv78BLgWmZ_6m9z__HVAC_DEVICE_SERVES_ZONE__tz_0SCHpckP52uejwTkqQppKQ,dev_22jIiQtMv78BLgWmZ_6m9z,tz_0SCHpckP52uejwTkqQppKQ,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 5.11}",
dev_22jIiQtMv78BLgWmZ_6m95__HVAC_DEVICE_SERVES_ZONE__tz_0SCHpckP52uejwTkqQppKQ,dev_22jIiQtMv78BLgWmZ_6m95,tz_0SCHpckP52uejwTkqQppKQ,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 5.11}",
dev_22jIiQtMv78BLgWmZ_6mEF__HVAC_DEVICE_SERVES_ZONE__tz_1VG1As2i9CNAES2YSNmuPp,dev_22jIiQtMv78BLgWmZ_6mEF,tz_1VG1As2i9CNAES2YSNmuPp,HVAC_DEVICE_SERVES_ZONE,directed,,ifc_hvac,floor+nearest_space_centroid,medium,"{""distance_m"": 2.33}",
