node_id,node_type,name,label,source_system,source_file,ifc_global_id,eplus_name,xeokit_object_id,zone_id,floor_id,room_id,coordinates,properties_json,value_class,confidence,notes
dev_22jIiQtMv78BLgWmZ_6znE,HVACDevice,URH/A-125,IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6znE,,,tz_3VjWRBBpP8T92ljLOxqe1U,floor_basement,room_3VjWRBBpP8T92ljLOxqe1U,"[47.852, 68.701, 54.5]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6ztP,HVACDevice,URH/A-125,IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6ztP,,,tz_0SCHpckP52uejwTkqQppMe,floor_basement,room_0SCHpckP52uejwTkqQppMe,"[50.215, 70.707, 54.5]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6zql,HVACDevice,URH/A-125,IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6zql,,,tz_1ct5EDQ3f00e2ZWyRvpNyV,floor_basement,room_1ct5EDQ3f00e2ZWyRvpNyV,"[52.53, 72.673, 54.5]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6zqp,HVACDevice,URH/A-125,IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6zqp,,,tz_0_1BZVDc5BxwJSwnsVxduk,floor_basement,room_0_1BZVDc5BxwJSwnsVxduk,"[55.732, 75.391, 54.5]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6zq1,HVACDevice,URH/A-125,IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6zq1,,,tz_3VjWRBBpP8T92ljLOxqe1U,floor_basement,room_3VjWRBBpP8T92ljLOxqe1U,"[46.493, 67.547, 54.5]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6zfb,HVACDevice,URH/A-125,IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6zfb,,,tz_0SCHpckP52uejwTkqQppKQ,floor_basement,room_0SCHpckP52uejwTkqQppKQ,"[59.773, 78.821, 54.5]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6zb_,HVACDevice,ULA/N-100(R),IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6zb_,,,tz_3VjWRBBpP8T92ljLOxqe1U,floor_basement,room_3VjWRBBpP8T92ljLOxqe1U,"[50.276, 65.845, 54.497]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6_Qq,HVACDevice,ULA/N-100(R),IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6_Qq,,,tz_0SCHpckP52uejwTkqQppMe,floor_basement,room_0SCHpckP52uejwTkqQppMe,"[52.639, 67.851, 54.497]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6_Q4,HVACDevice,ULA/N-100(R),IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6_Q4,,,tz_1ct5EDQ3f00e2ZWyRvpNyV,floor_basement,room_1ct5EDQ3f00e2ZWyRvpNyV,"[54.955, 69.817, 54.497]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
dev_22jIiQtMv78BLgWmZ_6_O6,HVACDevice,ULA/N-100(R),IfcAirTerminal,ifc_hvac,HVAC_enriched.ifc,22jIiQtMv78BLgWmZ$6_O6,,,tz_36Blhdds16DOgkiAVsPwfN,floor_basement,room_36Blhdds16DOgkiAVsPwfN,"[47.827, 63.766, 54.447]","{""ifc_class"": ""IfcAirTerminal"", ""role"": ""terminal"", ""system_code"": null}",ifc_derived,high,
