device_id,ifc_global_id,name,ifc_class,role,floor_id,served_zone_id,distance_m,system_code
dev_22jIiQtMv78BLgWmZ_6znE,22jIiQtMv78BLgWmZ$6znE,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_3VjWRBBpP8T92ljLOxqe1U,3.37,
dev_22jIiQtMv78BLgWmZ_6ztP,22jIiQtMv78BLgWmZ$6ztP,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQppMe,3.38,
dev_22jIiQtMv78BLgWmZ_6zql,22jIiQtMv78BLgWmZ$6zql,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_1ct5EDQ3f00e2ZWyRvpNyV,2.89,
dev_22jIiQtMv78BLgWmZ_6zqp,22jIiQtMv78BLgWmZ$6zqp,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_0_1BZVDc5BxwJSwnsVxduk,0.86,
dev_22jIiQtMv78BLgWmZ_6zq1,22jIiQtMv78BLgWmZ$6zq1,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_3VjWRBBpP8T92ljLOxqe1U,3.45,
dev_22jIiQtMv78BLgWmZ_6zfb,22jIiQtMv78BLgWmZ$6zfb,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQppKQ,2.85,
dev_22jIiQtMv78BLgWmZ_6zb_,22jIiQtMv78BLgWmZ$6zb_,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_3VjWRBBpP8T92ljLOxqe1U,0.87,
dev_22jIiQtMv78BLgWmZ_6_Qq,22jIiQtMv78BLgWmZ$6_Qq,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQppMe,0.91,
dev_22jIiQtMv78BLgWmZ_6_Q4,22jIiQtMv78BLgWmZ$6_Q4,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_1ct5EDQ3f00e2ZWyRvpNyV,0.98,
dev_22jIiQtMv78BLgWmZ_6_O6,22jIiQtMv78BLgWmZ$6_O6,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_36Blhdds16DOgkiAVsPwfN,1.22,
dev_22jIiQtMv78BLgWmZ_6_k9,22jIiQtMv78BLgWmZ$6$k9,JSC-125-420(R1) +PDI/S-100,IfcAirTerminal,terminal,floor_basement,tz_0_1BZVDc5BxwJSwnsVxduk,0.76,
dev_22jIiQtMv78BLgWmZ_6_W8,22jIiQtMv78BLgWmZ$6$W8,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_0x2YWQZaL7RuBo3f9SkzJQ,1.34,
dev_22jIiQtMv78BLgWmZ_6_cb,22jIiQtMv78BLgWmZ$6$cb,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_0_1BZVDc5BxwJSwnsVxduk,0.57,
dev_22jIiQtMv78BLgWmZ_6mVi,22jIiQtMv78BLgWmZ$6mVi,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQppKQ,1.08,
dev_22jIiQtMv78BLgWmZ_6mMj,22jIiQtMv78BLgWmZ$6mMj,JSC-125-420(R1) +PDI/S-100,IfcAirTerminal,terminal,floor_basement,tz_1VG1As2i9CNAES2YSNmuPp,6.18,
dev_22jIiQtMv78BLgWmZ_6mK5,22jIiQtMv78BLgWmZ$6mK5,JSC-125-420(R1) +PDI/S-100,IfcAirTerminal,terminal,floor_basement,tz_1VG1As2i9CNAES2YSNmuPp,3.32,
dev_22jIiQtMv78BLgWmZ_6mBz,22jIiQtMv78BLgWmZ$6mBz,JSC-125-420(R1) +PDI/S-100,IfcAirTerminal,terminal,floor_basement,tz_38X23Znkr2XwCxu0x_LNZN,4.84,
dev_22jIiQtMv78BLgWmZ_6m9z,22jIiQtMv78BLgWmZ$6m9z,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQppKQ,5.11,
dev_22jIiQtMv78BLgWmZ_6m95,22jIiQtMv78BLgWmZ$6m95,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQppKQ,5.11,
dev_22jIiQtMv78BLgWmZ_6mEF,22jIiQtMv78BLgWmZ$6mEF,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_1VG1As2i9CNAES2YSNmuPp,2.33,
dev_22jIiQtMv78BLgWmZ_6m3A,22jIiQtMv78BLgWmZ$6m3A,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_1rU_t3tkDF9h1LzFTQbFDG,1.99,
dev_22jIiQtMv78BLgWmZ_6m1t,22jIiQtMv78BLgWmZ$6m1t,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_1ihDn_IqL2a8bCCZUoYpUL,2.78,
dev_22jIiQtMv78BLgWmZ_6oTa,22jIiQtMv78BLgWmZ$6oTa,URH/A-160,IfcAirTerminal,terminal,floor_basement,tz_1ct5EDQ3f00e2ZWyRvpNyV,2.51,
dev_1j_acQPp59DRq9Np2lAXjo,1j$acQPp59DRq9Np2lAXjo,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_1VG1As2i9CNAES2YSNmuPp,1.13,
dev_1j_acQPp59DRq9Np2lAXjG,1j$acQPp59DRq9Np2lAXjG,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_1ihDn_IqL2a8bCCZUoYpU_,1.57,
dev_1j_acQPp59DRq9Np2lAckV,1j$acQPp59DRq9Np2lAckV,RKT-160,IfcAirTerminal,terminal,floor_basement,tz_2Xe6rbtYzAqhfyXbKpPSmb,1.0,
dev_1j_acQPp59DRq9Np2lAck5,1j$acQPp59DRq9Np2lAck5,RKT-160,IfcAirTerminal,terminal,floor_basement,tz_2Xe6rbtYzAqhfyXbKpPSmb,0.99,
dev_1j_acQPp59DRq9Np2lAcXb,1j$acQPp59DRq9Np2lAcXb,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_1d5Bmt5s12axuaGQA2o2sr,1.96,
dev_1j_acQPp59DRq9Np2lAcdv,1j$acQPp59DRq9Np2lAcdv,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_1VG1As2i9CNAES2YSNmuWI,1.97,
dev_1j_acQPp59DRq9Np2lAcJy,1j$acQPp59DRq9Np2lAcJy,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_1VG1As2i9CNAES2YSNmuWI,1.27,
dev_1j_acQPp59DRq9Np2lAcHf,1j$acQPp59DRq9Np2lAcHf,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQppMc,0.33,
dev_1j_acQPp59DRq9Np2lAcA3,1j$acQPp59DRq9Np2lAcA3,ULA/N-125(R),IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQpmjD,0.87,
dev_1j_acQPp59DRq9Np2lAc9v,1j$acQPp59DRq9Np2lAc9v,ULA/N-125(R),IfcAirTerminal,terminal,floor_basement,tz_2zhoehGLvBbwmT_FUY8BB4,1.35,
dev_1j_acQPp59DRq9Np2lAc9Z,1j$acQPp59DRq9Np2lAc9Z,ULA/N-125(R),IfcAirTerminal,terminal,floor_basement,tz_2zhoehGLvBbwmT_FUY8BB4,3.52,
dev_1j_acQPp59DRq9Np2lAc4n,1j$acQPp59DRq9Np2lAc4n,ULA/N-125(R),IfcAirTerminal,terminal,floor_basement,tz_0SCHpckP52uejwTkqQpmjR,0.81,
dev_1j_acQPp59DRq9Np2lAbp7,1j$acQPp59DRq9Np2lAbp7,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_2zhoehGLvBbwmT_FUY8BB4,2.1,
dev_1j_acQPp59DRq9Np2lAbmJ,1j$acQPp59DRq9Np2lAbmJ,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_2T7gRjEFvBgRaNLZHAfEyu,3.62,
dev_1j_acQPp59DRq9Np2lAbjo,1j$acQPp59DRq9Np2lAbjo,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_1d5Bmt5s12axuaGQA2o2sr,2.94,
dev_1j_acQPp59DRq9Np2lAbjz,1j$acQPp59DRq9Np2lAbjz,URH/A-125,IfcAirTerminal,terminal,floor_basement,tz_1d5Bmt5s12axuaGQA2o2sr,3.0,
dev_07QZe2Mfv7l8QBns93dEzZ,07QZe2Mfv7l8QBns93dEzZ,ULA/N-100(R),IfcAirTerminal,terminal,floor_basement,tz_1ihDn_IqL2a8bCCZUoYpTf,1.75,
