object_id,object_type,ifc_global_id,ifc_class,floor_id,floor_confidence,room_id,zone_id,eplus_zone_name,mapping_method,zone_confidence,distance_m,value_class,notes
board_1BFJi9GR9EgeQt8GQ9AUhL,ElectricalBoard,1BFJi9GR9EgeQt8GQ9AUhL,IfcElectricDistributionBoard,floor_basement,high,room_2T7gRjEFvBgRaNLZHAfEyu,tz_2T7gRjEFvBgRaNLZHAfEyu,ZN_0046_72F797FC,ifc_storey_containment+nearest_space_centroid,low,6.13,spatially_inferred,
board_1BFJi9GR9EgeQt8GQ9ASY_,ElectricalBoard,1BFJi9GR9EgeQt8GQ9ASY$,IfcElectricDistributionBoard,floor_basement,high,room_2T7gRjEFvBgRaNLZHAfEyu,tz_2T7gRjEFvBgRaNLZHAfEyu,ZN_0046_72F797FC,ifc_storey_containment+nearest_space_centroid,medium,4.44,spatially_inferred,
board_1BFJi9GR9EgeQt8GQ9AYuy,ElectricalBoard,1BFJi9GR9EgeQt8GQ9AYuy,IfcElectricDistributionBoard,floor_basement,high,room_0SCHpckP52uejwTkqQpmjR,tz_0SCHpckP52uejwTkqQpmjR,ZN_0048_74763835,ifc_storey_containment+nearest_space_centroid,medium,2.53,spatially_inferred,
board_1BFJi9GR9EgeQt8GQ9AWs2,ElectricalBoard,1BFJi9GR9EgeQt8GQ9AWs2,IfcElectricDistributionBoard,floor_basement,high,room_0SCHpckP52uejwTkqQpmjR,tz_0SCHpckP52uejwTkqQpmjR,ZN_0048_74763835,ifc_storey_containment+nearest_space_centroid,medium,2.52,spatially_inferred,
board_1WxTmsBPD4Sf77udYi3J2P,ElectricalBoard,1WxTmsBPD4Sf77udYi3J2P,IfcElectricDistributionBoard,floor_basement,high,room_1VG1As2i9CNAES2YSNmuWI,tz_1VG1As2i9CNAES2YSNmuWI,ZN_0050_44FE4565,ifc_storey_containment+nearest_space_centroid,medium,1.79,spatially_inferred,
board_1WxTmsBPD4Sf77udYi3J3x,ElectricalBoard,1WxTmsBPD4Sf77udYi3J3x,IfcElectricDistributionBoard,floor_basement,high,room_1VG1As2i9CNAES2YSNmuWI,tz_1VG1As2i9CNAES2YSNmuWI,ZN_0050_44FE4565,ifc_storey_containment+nearest_space_centroid,medium,1.2,spatially_inferred,
board_1WxTmsBPD4Sf77udYi3J3n,ElectricalBoard,1WxTmsBPD4Sf77udYi3J3n,IfcElectricDistributionBoard,floor_basement,high,room_1VG1As2i9CNAES2YSNmuWI,tz_1VG1As2i9CNAES2YSNmuWI,ZN_0050_44FE4565,ifc_storey_containment+nearest_space_centroid,medium,1.1,spatially_inferred,
board_1IIV9b5Dr84eaHsxik87Mo,ElectricalBoard,1IIV9b5Dr84eaHsxik87Mo,IfcElectricDistributionBoard,floor_basement,high,room_0SCHpckP52uejwTkqQpmjR,tz_0SCHpckP52uejwTkqQpmjR,ZN_0048_74763835,ifc_storey_containment+nearest_space_centroid,medium,5.19,spatially_inferred,
board_3N5QrrVL56chghraBSbwdo,ElectricalBoard,3N5QrrVL56chghraBSbwdo,IfcElectricDistributionBoard,floor_basement,high,room_2W9Cn8Smn0xwjpo8lUzELc,tz_2W9Cn8Smn0xwjpo8lUzELc,ZN_0005_EFA813DD,ifc_storey_containment+nearest_space_centroid,medium,4.52,spatially_inferred,
board_3N5QrrVL56chghraBSbwWJ,ElectricalBoard,3N5QrrVL56chghraBSbwWJ,IfcElectricDistributionBoard,floor_basement,high,room_2W9Cn8Smn0xwjpo8lUzELc,tz_2W9Cn8Smn0xwjpo8lUzELc,ZN_0005_EFA813DD,ifc_storey_containment+nearest_space_centroid,medium,3.77,spatially_inferred,
board_3_XGvzQVX2IO92jk20E4kJ,ElectricalBoard,3$XGvzQVX2IO92jk20E4kJ,IfcElectricDistributionBoard,floor_basement,high,room_2T7gRjEFvBgRaNLZHAfEyt,tz_2T7gRjEFvBgRaNLZHAfEyt,ZN_0044_62C79DBA,ifc_storey_containment+nearest_space_centroid,medium,5.23,spatially_inferred,
board_3_XGvzQVX2IO92jk20E2M_,ElectricalBoard,3$XGvzQVX2IO92jk20E2M_,IfcElectricDistributionBoard,floor_basement,high,room_1ihDn_IqL2a8bCCZUoYpUL,tz_1ihDn_IqL2a8bCCZUoYpUL,ZN_0287_C19940B7,ifc_storey_containment+nearest_space_centroid,medium,2.24,spatially_inferred,
board_3_XGvzQVX2IO92jk20E2MP,ElectricalBoard,3$XGvzQVX2IO92jk20E2MP,IfcElectricDistributionBoard,floor_basement,high,room_1ihDn_IqL2a8bCCZUoYpUL,tz_1ihDn_IqL2a8bCCZUoYpUL,ZN_0287_C19940B7,ifc_storey_containment+nearest_space_centroid,medium,3.32,spatially_inferred,
board_0YlieLMgD4O9YRLNjlwdJN,ElectricalBoard,0YlieLMgD4O9YRLNjlwdJN,IfcElectricDistributionBoard,floor_basement,high,room_1d5Bmt5s12axuaGQA2o2sr,tz_1d5Bmt5s12axuaGQA2o2sr,ZN_0009_4DD171D8,ifc_storey_containment+nearest_space_centroid,medium,1.85,spatially_inferred,
board_0YlieLMgD4O9YRLNjlwdJu,ElectricalBoard,0YlieLMgD4O9YRLNjlwdJu,IfcElectricDistributionBoard,floor_basement,high,room_1d5Bmt5s12axuaGQA2o2sr,tz_1d5Bmt5s12axuaGQA2o2sr,ZN_0009_4DD171D8,ifc_storey_containment+nearest_space_centroid,medium,1.73,spatially_inferred,
board_1T4Dk9Ojj9rOi06EMenZ3N,ElectricalBoard,1T4Dk9Ojj9rOi06EMenZ3N,IfcElectricDistributionBoard,floor_basement,high,room_0x2YWQZaL7RuBo3f9SkzJQ,tz_0x2YWQZaL7RuBo3f9SkzJQ,ZN_0202_2310BD25,ifc_storey_containment+nearest_space_centroid,medium,0.43,spatially_inferred,
board_1T4Dk9Ojj9rOi06EMenZ3G,ElectricalBoard,1T4Dk9Ojj9rOi06EMenZ3G,IfcElectricDistributionBoard,floor_basement,high,room_0_1BZVDc5BxwJSwnsVxduU,tz_0_1BZVDc5BxwJSwnsVxduU,ZN_0203_27084089,ifc_storey_containment+nearest_space_centroid,medium,1.08,spatially_inferred,
board_0v5ZMY9z92W9XFjubzgo4H,ElectricalBoard,0v5ZMY9z92W9XFjubzgo4H,IfcElectricDistributionBoard,floor_basement,high,room_2T7gRjEFvBgRaNLZHAfEyu,tz_2T7gRjEFvBgRaNLZHAfEyu,ZN_0046_72F797FC,ifc_storey_containment+nearest_space_centroid,medium,1.83,spatially_inferred,
board_0v5ZMY9z92W9XFjubzgo4t,ElectricalBoard,0v5ZMY9z92W9XFjubzgo4t,IfcElectricDistributionBoard,floor_basement,high,room_2T7gRjEFvBgRaNLZHAfEyu,tz_2T7gRjEFvBgRaNLZHAfEyu,ZN_0046_72F797FC,ifc_storey_containment+nearest_space_centroid,medium,1.6,spatially_inferred,
board_03k_lofl1AlwgVg6JePWUa,ElectricalBoard,03k$lofl1AlwgVg6JePWUa,IfcElectricDistributionBoard,floor_basement,high,room_0SCHpckP52uejwTkqQpmjD,tz_0SCHpckP52uejwTkqQpmjD,ZN_0049_2C5722CB,ifc_storey_containment+nearest_space_centroid,medium,3.66,spatially_inferred,
board_29TNjzyaLFhP4y0nNcCYsr,ElectricalBoard,29TNjzyaLFhP4y0nNcCYsr,IfcElectricDistributionBoard,floor_level_01,high,room_1F880bSDL9nPujvxIbzg0N,tz_1F880bSDL9nPujvxIbzg0N,ZN_0204_C7F78A1B,ifc_storey_containment+nearest_space_centroid,medium,0.65,spatially_inferred,
board_2Nl2KpUg9CfPXj33hGJG3g,ElectricalBoard,2Nl2KpUg9CfPXj33hGJG3g,IfcElectricDistributionBoard,floor_level_01,high,room_1F880bSDL9nPujvxIbzg0N,tz_1F880bSDL9nPujvxIbzg0N,ZN_0204_C7F78A1B,ifc_storey_containment+nearest_space_centroid,medium,0.73,spatially_inferred,
board_1uPDbvw6L0MgNr4AW2hEsV,ElectricalBoard,1uPDbvw6L0MgNr4AW2hEsV,IfcElectricDistributionBoard,floor_level_01,high,room_1F880bSDL9nPujvxIbzg02,tz_1F880bSDL9nPujvxIbzg02,ZN_0205_AA35370C,ifc_storey_containment+nearest_space_centroid,medium,0.65,spatially_inferred,
board_1uPDbvw6L0MgNr4AW2hEs_,ElectricalBoard,1uPDbvw6L0MgNr4AW2hEs_,IfcElectricDistributionBoard,floor_level_01,high,room_1F880bSDL9nPujvxIbzg02,tz_1F880bSDL9nPujvxIbzg02,ZN_0205_AA35370C,ifc_storey_containment+nearest_space_centroid,medium,0.73,spatially_inferred,
