guid,x,y,z
38X23Znkr2XwCxu0x$LNZN,65.897,68.432,53.25
2QItuhiMv8FuPzP3Ob1NJb,28.166,36.282,53.375
2jhaHNpo55guKudM9wZa7X,62.245,65.091,53.716
1VG1As2i9CNAES2YSNmuPp,66.54,71.708,53.25
2T7gRjEFvBgRaNLZHAfExM,16.527,39.598,54.102
2Xe6rbtYzAqhfyXbKpPSmb,63.546,71.205,53.6
2Xe6rbtYzAqhfyXbKpPSqj,26.337,40.628,53.976
3jzuKaCoj7duM8YUpx6Khz,22.797,35.588,57.375
3jzuKaCoj7duM8YUpx6KXa,16.535,40.408,57.375
1mvwF0Vfb88Ad0u_CxGh8v,21.207,33.656,53.375
3eHc4RiQ5C9u5ExHSqeXsn,63.234,71.573,58.095
1mvwF0Vfb88Ad0u_CxGhB1,18.789,36.311,53.375
1CEwDhGXz6rf1qZbuMomS3,26.636,40.541,57.969
1mvwF0Vfb88Ad0u_CxGgL$,22.125,39.342,53.375
1mvwF0Vfb88Ad0u_CxGgLZ,24.234,36.905,53.375
0qZtwNut1C6QT5uDplIctO,33.823,35.256,53.375
1mvwF0Vfb88Ad0u_CxGgLz,23.045,38.437,53.375
3jCS7E4Nb3qBkgP0MIotWt,31.379,42.348,56.75
0qZtwNut1C6QT5uDplIc_N,26.211,33.174,53.345
3jCS7E4Nb3qBkgP0MIoqGs,58.588,69.941,57.375
3jCS7E4Nb3qBkgP0MIoqPQ,35.854,46.133,57.375
3b3bVmE5P4tBwtV6k_$euI,67.404,69.292,65.4
2W9Cn8Smn0xwjpo8lUzELc,45.269,46.797,53.566
3b3bVmE5P4tBwtV6k_$eqi,28.22,36.026,65.4
0tWM7C8ybBZQ4c5DL1$lzg,51.957,66.084,57.0
3b3bVmE5P4tBwtV6k_$e0O,28.22,36.026,69.315
3b3bVmE5P4tBwtV6k_$e4Q,67.423,69.609,69.315
3xtnrBUgHBCwRh$xfyB4Ic,22.966,34.604,61.347
1d5Bmt5s12axuaGQA2o2sr,40.282,53.926,53.479
3H2AkZFqzChQTN2UOTW$62,63.725,71.433,61.946
3H2AkZFqzChQTN2UOTW$7V,26.657,40.435,61.904
2jhaHNpo55guKudM9wZa8A,55.142,59.166,53.375
2EmhthfYTF$hx0gAAa2KtI,67.062,75.252,57.52
2jhaHNpo55guKudM9wZa88,56.226,59.933,53.375
2jhaHNpo55guKudM9wZa8E,57.688,61.174,53.375
2jhaHNpo55guKudM9wZa9q,57.914,55.459,53.375
2jhaHNpo55guKudM9wZa8C,61.469,59.868,53.526
2T7gRjEFvBgRaNLZHAfEyt,22.059,41.993,53.375
3xtnrBUgHBCwRh$xfyB8zE,44.703,48.624,57.43
3xtnrBUgHBCwRh$xfyB1VR,53.575,62.953,61.675
1xBFBS5N18MfdblikYnUB3,26.2,40.053,65.881
3xtnrBUgHBCwRh$xfyB4IZ,31.319,44.798,61.675
3xtnrBUgHBCwRh$xfyB626,8.501,36.798,57.007
2T7gRjEFvBgRaNLZHAfEyu,33.502,48.702,53.806
0SCHpckP52uejwTkqQpmjD,38.897,53.156,53.375
0SCHpckP52uejwTkqQpmjR,37.377,54.946,53.375
1xBFBS5N18MfdblikYnUBD,63.697,71.294,65.81
1VG1As2i9CNAES2YSNmuWI,40.28,58.216,53.375
3VjWRBBpP8T92ljLOxqe1U,49.415,65.714,53.375
0SCHpckP52uejwTkqQppMe,52.943,68.709,53.375
36Blhdds16DOgkiAVsPwfN,49.044,63.649,54.008
1ct5EDQ3f00e2ZWyRvpNyV,54.064,70.219,53.375
0_1BZVDc5BxwJSwnsVxduk,55.22,74.706,53.375
0SCHpckP52uejwTkqQppMc,43.945,62.032,53.375
0SCHpckP52uejwTkqQppKQ,58.263,76.399,53.375
1xBFBS5N18MfdblikYnV4N,67.671,74.368,65.4
3H2AkZFqzChQTN2UOTW$6p,67.546,73.979,61.31
1xBFBS5N18MfdblikYnHqn,23.856,35.908,65.4
0Q4MSUQx531vKL_w06AgFD,63.321,71.489,70.165
1xBFBS5N18MfdblikYnHqd,36.755,46.185,65.4
0SCHpckP52uejwTkqQpmS1,22.062,36.504,74.407
0Q4MSUQx531vKL_w06AgFJ,26.27,40.085,70.061
3jzuKaCoj7duM8YUpx6IdZ,25.964,46.028,57.599
3xtnrBUgHBCwRh$xfyB8NH,26.655,40.825,74.42
1VG1As2i9CNAES2YSNmu8x,38.014,52.926,74.42
36Blhdds16DOgkiAVsP5oS,31.253,55.275,69.4
1xBFBS5N18MfdblikYnUB5,54.02,62.206,65.4
36Blhdds16DOgkiAVsP5o5,26.03,50.533,69.4
36Blhdds16DOgkiAVsP68h,31.128,55.42,65.4
3JI0SE8z59FBfLCYYLZpFk,62.765,70.677,74.42
36Blhdds16DOgkiAVsP68f,26.114,50.687,65.297
0C83sfLu9E9eQLJY7z8Xye,55.93,66.548,74.092
3eHc4RiQ5C9u5ExHSqeXq_,25.444,35.896,57.375
0dEbiQb1r6fw7CerSu3TPT,29.335,31.156,57.8
0dEbiQb1r6fw7CerSu3TPQ,30.823,32.419,57.8
0dEbiQb1r6fw7CerSu3TPG,25.896,28.424,57.955
0dEbiQb1r6fw7CerSu3TP7,33.689,34.988,57.765
0dEbiQb1r6fw7CerSu3VCo,37.323,38.092,57.62
3I0Kk3lRLDw8v2w0zwpO7q,58.267,55.718,57.8
3I0Kk3lRLDw8v2w0zwpO7p,61.393,58.372,57.8
3I0Kk3lRLDw8v2w0zwpO6E,62.841,59.601,57.8
0Q4MSUQx531vKL_w06AgEr,24.229,35.961,69.354
0Q4MSUQx531vKL_w06Ag5$,67.921,73.378,69.433
2T7gRjEFvBgRaNLZHAfFF9,18.862,41.258,57.375
2Hutkn_Qz94QfZXkZOQRZT,57.334,67.275,57.375
0Q4MSUQx531vKL_w06AgEp,37.445,45.926,69.508
3I0Kk3lRLDw8v2w0zwpO6D,65.988,62.272,57.8
2T7gRjEFvBgRaNLZHAfFFA,20.03,39.882,57.375
2T7gRjEFvBgRaNLZHAfFFF,21.976,38.911,57.375
0dEbiQb1r6fw7CerSu3VYp,68.782,64.595,57.761
2zj90NfNL65vjsnTedSQQ0,24.988,44.399,57.375
2T7gRjEFvBgRaNLZHAfFna,21.918,32.711,57.375
2T7gRjEFvBgRaNLZHAfF$0,18.867,36.731,57.375
2DkesObgH6N86CUi08jTVS,67.522,72.654,57.375
04HSGJmcD3bRsP58HjpIbw,22.526,42.883,57.375
2DkesObgH6N86CUi08jTVP,65.472,75.408,57.375
3eHc4RiQ5C9u5ExHSqeWU8,54.037,73.999,57.375
0dEbiQb1r6fw7CerSu3UST,56.26,76.491,57.375
3eHc4RiQ5C9u5ExHSqeWrs,54.609,69.251,57.375
3fHyVhsY1FRR0IcklmG_av,53.606,70.433,57.375
1JtggxsYb29w1PJMKPQcP0,19.035,36.552,61.45
1JtggxsYb29w1PJMKPQcVO,22.233,38.603,61.45
3xtnrBUgHBCwRh$xfyB0P8,31.57,46.83,61.45
3eHc4RiQ5C9u5ExHSqeW5C,56.978,71.554,57.375
1auGEtVRb3NhFYfyi2P6vo,30.344,54.33,61.45
3xtnrBUgHBCwRh$xfyB0P5,33.527,44.525,61.45
1auGEtVRb3NhFYfyi2P6vw,35.565,57.667,61.45
0_1BZVDc5BxwJSwnsVxdyn,35.672,45.258,60.95
2xP8Oy$oH5JP_1bqohjpab,39.17,51.029,61.45
2Ps55StZr5yRhh62nE9q9d,38.146,60.418,61.45
2Ps55StZr5yRhh62nE9q9Y,40.148,61.686,61.45
2Ps55StZr5yRhh62nE9q9X,41.53,63.672,61.45
05MwHiS6LD$BIlHfVKbp73,41.9,53.755,61.45
1JtggxsYb29w1PJMKPQdmN,42.421,56.05,61.45
2xP8Oy$oH5JP_1bqohjpax,44.494,66.61,61.45
3xtnrBUgHBCwRh$xfyB0Sg,45.086,58.649,61.45
2xP8Oy$oH5JP_1bqohjpac,48.023,58.545,61.45
3mv9CJhk92VvyjKaBF2owy,44.803,52.947,61.45
36Blhdds16DOgkiAVsPxcV,33.478,47.7,62.581
3xtnrBUgHBCwRh$xfyB1Vw,56.199,67.74,61.45
3xtnrBUgHBCwRh$xfyB0PT,47.287,55.581,61.45
