zone_id,room_id,ifc_global_id,eplus_zone_name,floor_id,storey,room_type,long_name,number,area_m2,volume_m3,usage_type,controllable,in_gold,source_system,value_class,confidence
tz_2Xe6rbtYzAqhfyXbKpPSqj,room_2Xe6rbtYzAqhfyXbKpPSqj,2Xe6rbtYzAqhfyXbKpPSqj,ZN_0001_12B24915,floor_basement,Basement,circulation,STAIRCASE,001,25.3945,96.4991,ifc_supported_ptac,False,True,ifc_arch,ifc_derived,high
tz_2Xe6rbtYzAqhfyXbKpPSmb,room_2Xe6rbtYzAqhfyXbKpPSmb,2Xe6rbtYzAqhfyXbKpPSmb,ZN_0002_2F584023,floor_basement,Basement,circulation,STAIRCASE,002,27.084,102.919,ifc_supported_ptac,False,True,ifc_arch,ifc_derived,high
tz_2T7gRjEFvBgRaNLZHAfExM,room_2T7gRjEFvBgRaNLZHAfExM,2T7gRjEFvBgRaNLZHAfExM,ZN_0003_4700456C,floor_basement,Basement,circulation,STAIRCASE,003,15.4939,58.8768,ifc_supported_ptac,False,True,ifc_arch,ifc_derived,high
tz_2QItuhiMv8FuPzP3Ob1NJb,room_2QItuhiMv8FuPzP3Ob1NJb,2QItuhiMv8FuPzP3Ob1NJb,ZN_0004_25E92350,floor_basement,Basement,amenity,BREAK ROOM,012,16.4441,62.4876,ifc_supported_ptac,False,True,ifc_arch,ifc_derived,high
tz_2W9Cn8Smn0xwjpo8lUzELc,room_2W9Cn8Smn0xwjpo8lUzELc,2W9Cn8Smn0xwjpo8lUzELc,ZN_0005_EFA813DD,floor_basement,Basement,amenity,GYM,020,161.302,580.687,ifc_supported_ptac,False,True,ifc_arch,ifc_derived,high
tz_38X23Znkr2XwCxu0x_LNZN,room_38X23Znkr2XwCxu0x_LNZN,38X23Znkr2XwCxu0x$LNZN,ZN_0006_4407D7F3,floor_basement,Basement,hallway,CORRIDOR,021,7.59506,28.8612,fallback_ptac_for_conditioned_zone,False,True,ifc_arch,ifc_derived,high
tz_1VG1As2i9CNAES2YSNmuPp,room_1VG1As2i9CNAES2YSNmuPp,1VG1As2i9CNAES2YSNmuPp,ZN_0007_D6F3BDF2,floor_basement,Basement,utility,SHELTER,022,105.524,400.991,unconditioned_zone,False,True,ifc_arch,ifc_derived,high
tz_2jhaHNpo55guKudM9wZa7X,room_2jhaHNpo55guKudM9wZa7X,2jhaHNpo55guKudM9wZa7X,ZN_0008_AACD45D4,floor_basement,Basement,amenity,BREAK ROOM,023,10.528,40.0065,ifc_supported_ptac,False,True,ifc_arch,ifc_derived,high
tz_1d5Bmt5s12axuaGQA2o2sr,room_1d5Bmt5s12axuaGQA2o2sr,1d5Bmt5s12axuaGQA2o2sr,ZN_0009_4DD171D8,floor_basement,Basement,hallway,CORRIDOR,030,147.443,560.283,ifc_supported_ptac,False,True,ifc_arch,ifc_derived,high
tz_3xtnrBUgHBCwRh_xfyB8zE,room_3xtnrBUgHBCwRh_xfyB8zE,3xtnrBUgHBCwRh$xfyB8zE,ZN_0010_CDF1301F,floor_level_01,Level_01,lobby,LOBBY,100,268.134,1126.16,ifc_supported_ptac,False,True,ifc_arch,ifc_derived,high
tz_1CEwDhGXz6rf1qZbuMomS3,room_1CEwDhGXz6rf1qZbuMomS3,1CEwDhGXz6rf1qZbuMomS3,ZN_0011_666FDF42,floor_level_01,Level_01,circulation,STAIRCASE,101,25.5555,107.333,fallback_ptac_for_conditioned_zone,False,True,ifc_arch,ifc_derived,high
