energy_scope,counts_toward_energy,zone_id,name,source_space_name,floor_id,area_m2,volume_m3,scope_confidence,scope_reason
aggregate_context,false,zone_1rU_t3tkDF9h1LzFTQbFc3,2,ZN_0260_14562137,14ebf9a8-cc08-46f8-9b88-d51cabf1b88c,3564.05,11405.00,high,explicit_aggregate_name
aggregate_context,false,zone_1VG1As2i9CNAES2YSNmuJU,2,ZN_0236_5018E57E,14ebf9a8-cc08-46f8-9b88-d51cabf1b88c,3647.96,11673.50,high,explicit_aggregate_name
aggregate_context,false,zone_2zhoehGLvBbwmT_FUY8B0L,2,ZN_0241_30D90A96,14ebf9a8-cc08-46f8-9b88-d51cabf1b88c,3712.13,11878.80,high,explicit_aggregate_name
aggregate_context,false,zone_1rU_t3tkDF9h1LzFTQbFDG,K,ZN_0258_D261444B,19fbaa99-0db8-49e0-abf4-d40d6b4118a4,3487.80,11160.90,high,explicit_aggregate_name
aggregate_context,false,zone_2zhoehGLvBbwmT_FUY8BB4,K,ZN_0239_5247F99E,19fbaa99-0db8-49e0-abf4-d40d6b4118a4,3704.39,11854.00,high,explicit_aggregate_name
aggregate_context,false,zone_2zhoehGLvBbwmT_FUY8CNA,VOLUME / GARAGE:VOLUME / GARAGE:2673500,ZN_0266_2523BFD6,19fbaa99-0db8-49e0-abf4-d40d6b4118a4,1037.46,1867.23,high,explicit_aggregate_name
aggregate_context,false,zone_2yC6uZ1Mj3WfWcT4GmORMG,VOLUME / OFFICE:VOLUME / OFFICE:2646424,ZN_0265_925E8FE2,231fe004-7b01-4905-9478-e1fc47adf6b2,3712.13,30773.90,high,explicit_aggregate_name
aggregate_context,false,zone_1rU_t3tkDF9h1LzFTQbFcg,3,ZN_0261_1BCBFE75,31da4eda-fbf4-424b-8713-32bd5a853749,3564.05,11405.00,high,explicit_aggregate_name
aggregate_context,false,zone_1VG1As2i9CNAES2YSNmuK1,3,ZN_0237_BB6659AA,31da4eda-fbf4-424b-8713-32bd5a853749,3648.79,11676.10,high,explicit_aggregate_name
aggregate_context,false,zone_2zhoehGLvBbwmT_FUY8B0q,3,ZN_0242_131CC093,31da4eda-fbf4-424b-8713-32bd5a853749,3712.13,11878.80,high,explicit_aggregate_name
